name,fat,protein,carbs,calories
oat,6.5,13.2,67.7,379
banana,0.3,1.1,22.8
apple,0.3,0.5,24.7,93
egg,9.5,12.6,0.7,143
rice,3.3,8.9,73.3,333
sweet potato,0.1,1.6,20.1,86
potato,0.1,1.7,20,86
walnut,65.2,15.2,13.7,653
almond,50.6,21.3,19.7,577
hazelnut,60.8,15,16.7,627
salmon,10.9,19.9,0,183
parmigiano,28,35,0,392
tuna,13,24,0,213
olive oil,100,0,0,884
butter,81.1,0.9,0,716
smoked salmon,4.3,18.3,0,117
carrot,0.2,0.9,9.6,41
whey,0,84,0,160
bean,0.9,15.2,40.8,227
tomato,0.2,0.9,3.9,18
lentil,1.1,25.8,60.1,353
onion,0.1,0.9,10.1,42
smoked turkey,17.6,13.1,3.9,226
